model,train_mae,train_rmse,train_r2,test_mae,test_rmse,test_r2,train_time,predictions
XGBoost Tuned,3.1177146434783936,14.699562346502393,0.9912623763084412,2.986643075942993,13.284686480962241,0.9928638339042664,31.77473497390747,"[9.9187332e-01 1.0369894e+03 9.8408306e-01 ... 7.0354348e-01 2.2826698e+02
 1.5248729e+02]"
XGBoost Baseline,4.584977149963379,19.17673013732439,0.9851292967796326,4.413389205932617,17.3845179991984,0.9877794981002808,13.626217365264893,"[8.4351034e+00 1.0491989e+03 5.9313476e-01 ... 5.9523308e-01 2.2477719e+02
 1.5600148e+02]"
LightGBM,4.627640352559839,19.082599805111666,0.985274898714702,4.471194337250713,17.41275416037651,0.987739787369939,10.378924369812012,"[   8.02928679 1026.82050449    0.         ...    1.03796538  226.86080248
  153.22282638]"
Random Forest,4.625559568761862,23.373700386746698,0.977907841453965,4.5571195931567745,22.664120612681103,0.979229793678515,719.764003276825,"[3.87760940e-02 1.06698781e+03 3.87760940e-02 ... 0.00000000e+00
 2.39660634e+02 1.51408224e+02]"
